train_cycle,hits_discovered,acquisition_method,architecture,n_start,seed,dataset,enrichment,id
12,13,Similarity,gcn,16,2,VDR,1.7459885995745639,gcn 16 2 VDR
13,13,Similarity,gcn,16,2,VDR,1.6578092369549235,gcn 16 2 VDR
14,13,Similarity,gcn,16,2,VDR,2.209351882006498,gcn 16 2 VDR
15,13,Similarity,gcn,16,2,VDR,2.108007427628722,gcn 16 2 VDR
0,1,Similarity,gcn,16,3,ALDH1,0,gcn 16 3 ALDH1
1,5,Similarity,gcn,16,3,ALDH1,0.4049950622391505,gcn 16 3 ALDH1
2,20,Similarity,gcn,16,3,ALDH1,-1.3532193216410506,gcn 16 3 ALDH1
3,29,Similarity,gcn,16,3,ALDH1,-1.0601460204819653,gcn 16 3 ALDH1
4,36,Similarity,gcn,16,3,ALDH1,-0.3445987903780656,gcn 16 3 ALDH1
5,40,Similarity,gcn,16,3,ALDH1,0.2259879464361667,gcn 16 3 ALDH1
6,47,Similarity,gcn,16,3,ALDH1,0.622292701286117,gcn 16 3 ALDH1
7,50,Similarity,gcn,16,3,ALDH1,1.2042727918427718,gcn 16 3 ALDH1
8,55,Similarity,gcn,16,3,ALDH1,1.4667404947955882,gcn 16 3 ALDH1
9,63,Similarity,gcn,16,3,ALDH1,1.3787766601016052,gcn 16 3 ALDH1
10,66,Similarity,gcn,16,3,ALDH1,1.634364777562659,gcn 16 3 ALDH1
11,68,Similarity,gcn,16,3,ALDH1,2.3071087483994446,gcn 16 3 ALDH1
12,72,Similarity,gcn,16,3,ALDH1,2.198182006920674,gcn 16 3 ALDH1
13,76,Similarity,gcn,16,3,ALDH1,2.4755044456599036,gcn 16 3 ALDH1
14,87,Similarity,gcn,16,3,ALDH1,2.434613111790153,gcn 16 3 ALDH1
15,98,Similarity,gcn,16,3,ALDH1,2.318343793427543,gcn 16 3 ALDH1
0,1,Similarity,gcn,16,3,PKM2,0,gcn 16 3 PKM2
1,1,Similarity,gcn,16,3,PKM2,0,gcn 16 3 PKM2
2,1,Similarity,gcn,16,3,PKM2,0,gcn 16 3 PKM2
3,1,Similarity,gcn,16,3,PKM2,0,gcn 16 3 PKM2
4,1,Similarity,gcn,16,3,PKM2,0,gcn 16 3 PKM2
5,1,Similarity,gcn,16,3,PKM2,0,gcn 16 3 PKM2
6,1,Similarity,gcn,16,3,PKM2,0,gcn 16 3 PKM2
7,1,Similarity,gcn,16,3,PKM2,0,gcn 16 3 PKM2
8,1,Similarity,gcn,16,3,PKM2,0,gcn 16 3 PKM2
9,1,Similarity,gcn,16,3,PKM2,0,gcn 16 3 PKM2
10,1,Similarity,gcn,16,3,PKM2,0,gcn 16 3 PKM2
11,2,Similarity,gcn,16,3,PKM2,-0.385156889258103,gcn 16 3 PKM2
12,2,Similarity,gcn,16,3,PKM2,-0.3651732916882677,gcn 16 3 PKM2
13,2,Similarity,gcn,16,3,PKM2,-0.34716108026628345,gcn 16 3 PKM2
14,2,Similarity,gcn,16,3,PKM2,-0.33084225107132426,gcn 16 3 PKM2
15,2,Similarity,gcn,16,3,PKM2,-0.31598872534630906,gcn 16 3 PKM2
0,1,Similarity,gcn,16,3,VDR,0,gcn 16 3 VDR
1,2,Similarity,gcn,16,3,VDR,-0.8416293953174281,gcn 16 3 VDR
2,2,Similarity,gcn,16,3,VDR,0.745994278430409,gcn 16 3 VDR
3,3,Similarity,gcn,16,3,VDR,0,gcn 16 3 VDR
4,4,Similarity,gcn,16,3,VDR,0,gcn 16 3 VDR
5,5,Similarity,gcn,16,3,VDR,-0.5563415000760772,gcn 16 3 VDR
6,5,Similarity,gcn,16,3,VDR,1.0257575072073561,gcn 16 3 VDR
7,5,Similarity,gcn,16,3,VDR,1.902859052959092,gcn 16 3 VDR
8,5,Similarity,gcn,16,3,VDR,1.774291162038585,gcn 16 3 VDR
9,5,Similarity,gcn,16,3,VDR,1.6619972529371618,gcn 16 3 VDR
10,6,Similarity,gcn,16,3,VDR,1.1723034978632971,gcn 16 3 VDR
11,9,Similarity,gcn,16,3,VDR,0,gcn 16 3 VDR
12,10,Similarity,gcn,16,3,VDR,0,gcn 16 3 VDR
13,12,Similarity,gcn,16,3,VDR,-0.6631236947819694,gcn 16 3 VDR
14,12,Similarity,gcn,16,3,VDR,-0.3156216974294992,gcn 16 3 VDR
15,12,Similarity,gcn,16,3,VDR,-0.3011439182326745,gcn 16 3 VDR
0,1,Similarity,gcn,16,4,ALDH1,0,gcn 16 4 ALDH1
1,11,Similarity,gcn,16,4,ALDH1,1.0124876555978766,gcn 16 4 ALDH1
2,19,Similarity,gcn,16,4,ALDH1,-0.24603987666200933,gcn 16 4 ALDH1
3,29,Similarity,gcn,16,4,ALDH1,-0.5300730102409825,gcn 16 4 ALDH1
4,33,Similarity,gcn,16,4,ALDH1,-0.689197580756131,gcn 16 4 ALDH1
5,35,Similarity,gcn,16,4,ALDH1,-0.056496986609041455,gcn 16 4 ALDH1
6,43,Similarity,gcn,16,4,ALDH1,0,gcn 16 4 ALDH1
7,49,Similarity,gcn,16,4,ALDH1,-0.04152664799457839,gcn 16 4 ALDH1
8,54,Similarity,gcn,16,4,ALDH1,0.03666851236988955,gcn 16 4 ALDH1
9,71,Similarity,gcn,16,4,ALDH1,-0.16414007858352475,gcn 16 4 ALDH1
10,86,Similarity,gcn,16,4,ALDH1,0.059431446456823966,gcn 16 4 ALDH1
11,96,Similarity,gcn,16,4,ALDH1,0.18999719104466006,gcn 16 4 ALDH1
12,100,Similarity,gcn,16,4,ALDH1,0.399669455803759,gcn 16 4 ALDH1
13,107,Similarity,gcn,16,4,ALDH1,0.4164400002044699,gcn 16 4 ALDH1
14,116,Similarity,gcn,16,4,ALDH1,0.3016334828766558,gcn 16 4 ALDH1
15,118,Similarity,gcn,16,4,ALDH1,0.38303071369672415,gcn 16 4 ALDH1
0,1,Similarity,gcn,16,4,PKM2,0,gcn 16 4 PKM2
1,1,Similarity,gcn,16,4,PKM2,0,gcn 16 4 PKM2
2,1,Similarity,gcn,16,4,PKM2,0,gcn 16 4 PKM2
3,1,Similarity,gcn,16,4,PKM2,0,gcn 16 4 PKM2
4,1,Similarity,gcn,16,4,PKM2,0.6243072920215642,gcn 16 4 PKM2
5,1,Similarity,gcn,16,4,PKM2,1.1468832765601795,gcn 16 4 PKM2
6,1,Similarity,gcn,16,4,PKM2,1.0604802771605681,gcn 16 4 PKM2
