train_cycle,seed,acquisition_method,architecture,bias,metric,value
11,2,Random,mlp,random,MolWt,421.5410000000002
11,2,Random,mlp,random,MolWt,285.347
11,2,Random,mlp,random,MolWt,375.42
11,2,Random,mlp,random,MolWt,336.1890000000001
11,2,Random,mlp,random,MolWt,289.3310000000001
11,2,Random,mlp,random,MolWt,350.3740000000001
11,2,Random,mlp,random,MolWt,394.5210000000002
11,2,Random,mlp,random,MolWt,424.9560000000002
11,2,Random,mlp,random,MolWt,285.377
11,2,Random,mlp,random,MolWt,466.46800000000025
11,2,Random,mlp,random,MolWt,386.93000000000006
11,2,Random,mlp,random,MolWt,249.291
11,2,Random,mlp,random,MolWt,396.5150000000001
11,2,Random,mlp,random,MolWt,297.19800000000004
11,2,Random,mlp,random,MolWt,345.25000000000017
11,2,Random,mlp,random,MolWt,339.351
11,2,Random,mlp,random,MolWt,407.4700000000003
11,2,Random,mlp,random,MolWt,337.41900000000004
11,2,Random,mlp,random,MolWt,308.337
11,2,Random,mlp,random,MolWt,180.206
11,2,Random,mlp,random,MolWt,361.3760000000001
11,2,Random,mlp,random,MolWt,387.4610000000001
11,2,Random,mlp,random,MolWt,483.95500000000027
11,2,Random,mlp,random,MolWt,473.5510000000003
11,2,Random,mlp,random,MolWt,445.475
11,2,Random,mlp,random,MolWt,374.4210000000001
11,2,Random,mlp,random,MolWt,339.1540000000001
11,2,Random,mlp,random,MolWt,311.77200000000005
11,2,Random,mlp,random,MolWt,435.50500000000017
11,2,Random,mlp,random,MolWt,390.5160000000002
11,2,Random,mlp,random,MolWt,432.9290000000002
11,2,Random,mlp,random,MolWt,334.72900000000004
12,2,Random,mlp,random,MolWt,322.38800000000003
12,2,Random,mlp,random,MolWt,390.8660000000001
12,2,Random,mlp,random,MolWt,364.8160000000001
12,2,Random,mlp,random,MolWt,330.40800000000013
12,2,Random,mlp,random,MolWt,347.439
12,2,Random,mlp,random,MolWt,453.52300000000025
12,2,Random,mlp,random,MolWt,371.3920000000001
12,2,Random,mlp,random,MolWt,372.4100000000001
12,2,Random,mlp,random,MolWt,382.301
12,2,Random,mlp,random,MolWt,477.58300000000014
12,2,Random,mlp,random,MolWt,321.33400000000006
12,2,Random,mlp,random,MolWt,421.5410000000002
12,2,Random,mlp,random,MolWt,285.347
12,2,Random,mlp,random,MolWt,375.42
12,2,Random,mlp,random,MolWt,336.1890000000001
12,2,Random,mlp,random,MolWt,289.3310000000001
12,2,Random,mlp,random,MolWt,350.3740000000001
12,2,Random,mlp,random,MolWt,394.5210000000002
12,2,Random,mlp,random,MolWt,424.9560000000002
12,2,Random,mlp,random,MolWt,285.377
12,2,Random,mlp,random,MolWt,466.46800000000025
12,2,Random,mlp,random,MolWt,386.93000000000006
12,2,Random,mlp,random,MolWt,249.291
12,2,Random,mlp,random,MolWt,396.5150000000001
12,2,Random,mlp,random,MolWt,297.19800000000004
12,2,Random,mlp,random,MolWt,345.25000000000017
12,2,Random,mlp,random,MolWt,339.351
12,2,Random,mlp,random,MolWt,407.4700000000003
12,2,Random,mlp,random,MolWt,337.41900000000004
12,2,Random,mlp,random,MolWt,308.337
12,2,Random,mlp,random,MolWt,180.206
12,2,Random,mlp,random,MolWt,361.3760000000001
12,2,Random,mlp,random,MolWt,387.4610000000001
12,2,Random,mlp,random,MolWt,483.95500000000027
12,2,Random,mlp,random,MolWt,473.5510000000003
12,2,Random,mlp,random,MolWt,445.475
12,2,Random,mlp,random,MolWt,374.4210000000001
12,2,Random,mlp,random,MolWt,339.1540000000001
12,2,Random,mlp,random,MolWt,311.77200000000005
12,2,Random,mlp,random,MolWt,435.50500000000017
12,2,Random,mlp,random,MolWt,390.5160000000002
12,2,Random,mlp,random,MolWt,432.9290000000002
12,2,Random,mlp,random,MolWt,334.72900000000004
12,2,Random,mlp,random,MolWt,309.412
12,2,Random,mlp,random,MolWt,377.3560000000001
12,2,Random,mlp,random,MolWt,293.34900000000005
12,2,Random,mlp,random,MolWt,342.4050000000001
12,2,Random,mlp,random,MolWt,586.6460000000003
13,2,Random,mlp,random,MolWt,322.38800000000003
13,2,Random,mlp,random,MolWt,390.8660000000001
13,2,Random,mlp,random,MolWt,364.8160000000001
13,2,Random,mlp,random,MolWt,330.40800000000013
13,2,Random,mlp,random,MolWt,347.439
13,2,Random,mlp,random,MolWt,453.52300000000025
13,2,Random,mlp,random,MolWt,371.3920000000001
13,2,Random,mlp,random,MolWt,372.4100000000001
13,2,Random,mlp,random,MolWt,382.301
13,2,Random,mlp,random,MolWt,477.58300000000014
13,2,Random,mlp,random,MolWt,321.33400000000006
13,2,Random,mlp,random,MolWt,421.5410000000002
13,2,Random,mlp,random,MolWt,285.347
13,2,Random,mlp,random,MolWt,375.42
13,2,Random,mlp,random,MolWt,336.1890000000001
13,2,Random,mlp,random,MolWt,289.3310000000001
13,2,Random,mlp,random,MolWt,350.3740000000001
13,2,Random,mlp,random,MolWt,394.5210000000002
13,2,Random,mlp,random,MolWt,424.9560000000002
13,2,Random,mlp,random,MolWt,285.377
13,2,Random,mlp,random,MolWt,466.46800000000025
13,2,Random,mlp,random,MolWt,386.93000000000006
13,2,Random,mlp,random,MolWt,249.291
13,2,Random,mlp,random,MolWt,396.5150000000001
13,2,Random,mlp,random,MolWt,297.19800000000004
13,2,Random,mlp,random,MolWt,345.25000000000017
13,2,Random,mlp,random,MolWt,339.351
13,2,Random,mlp,random,MolWt,407.4700000000003
13,2,Random,mlp,random,MolWt,337.41900000000004
13,2,Random,mlp,random,MolWt,308.337
13,2,Random,mlp,random,MolWt,180.206
13,2,Random,mlp,random,MolWt,361.3760000000001
